Node ID,Degree,Modularity class,Betweenness centrality,Closeness centrality
"FRIED, HANS",1,10,0,0.338341
"FUCHS, WOLFGANG HEINRICH JOHANNES",28,8,0.002045,0.340348
"FUREDI, ZOLTAN",125,10,0.009495,0.363912
"GAAL, STEVEN A. (GAL, ISTVAN SANDOR",3,3,0.000173,0.33848
"GALAMBOS, JANOS",17,3,0.001699,0.339626
"GALLAI, TIBOR* (GRUNWALD, TIBOR",5,10,0.000439,0.340257
"GALVIN, FREDERICK WILLIAM",34,5,0.002251,0.341598
"GERENCSER, LASZLO",28,9,0.004105,0.339506
"GILLIS, JOSEPH E.",36,10,0.005092,0.340006
"GILLMAN, LEONARD",8,5,0.000571,0.338937
"GIMBEL, JOHN GORDON",36,10,0.002995,0.34428
"GINZBURG, ABRAHAM",4,1,0.000347,0.33848
"GODDARD, WAYNE DEAN",117,10,0.00775,0.349402
"GODSIL, CHRISTOPHER DAVID",53,10,0.004427,0.343357
"GOLDBERG, MARK K.",67,9,0.009975,0.342939
"GOLOMB, MICHAEL",13,9,0.001987,0.338579
"GOODMAN, ADOLPH W.",12,10,0.001109,0.338549
"GORDON, BASIL",32,10,0.002793,0.340831
"GOULD, RONALD J.",81,10,0.004918,0.347213
"GRAHAM, RONALD LEWIS",199,10,0.022237,0.369485
"GRAHAM, SIDNEY WEST",17,3,0.000977,0.340067
"GRANVILLE, ANDREW JAMES",90,3,0.008234,0.349465
"GRIESER, DANIEL",16,10,0.002314,0.338897
"GRILL, KARL",6,9,0.000228,0.339107
"GRUBER, PETER MANFRED",19,3,0.002375,0.338748
"GRUNBAUM, BRANKO",54,10,0.00602,0.340972
"GRUNWALD, GEZA",2,10,0,0.33845
"GUNDERSON, DAVID SHANE",30,10,0.001668,0.346566
"GUPTA, HANSRAJ",21,3,0.002344,0.339276
"GUY, MICHAEL J. T.",10,3,0.000675,0.339516
"GUY, RICHARD KENNETH",56,3,0.004824,0.344661
"GYARFAS, ANDRAS",92,10,0.006342,0.358638
"GYORI, ERVIN",42,10,0.002298,0.349169
"GYORY, KALMAN",43,3,0.003269,0.341912
"HAJNAL, ANDRAS",52,10,0.00266,0.353775
"HALASZ, GABOR^1",6,10,0.000063,0.338758
"HALL, RICHARD ROXBY",22,8,0.002091,0.339246
"HAMBURGER, PETER",32,10,0.002148,0.345808
"HAMMER, JOSEPH",8,3,0.000895,0.338639
"HANANI, HAIM",14,10,0.00032,0.339276
"HANSON, DENIS",31,10,0.002812,0.340127
"HARARY, FRANK",318,10,0.038197,0.363155
"HARCOS, GERGELY",22,10,0.002049,0.340539
"HARDY, GEORGE EUGENE",4,3,0.000252,0.338698
"HARE, WILLIAM RAY, JR.",18,10,0.001994,0.340137
"HARNER, CHARLES C.",2,10,0,0.338668
"HARTMAN, STANISLAW",17,9,0.001204,0.339346
"HARTTER, ERICH",5,10,0.000694,0.33842
"HARZHEIM, EGBERT",3,10,0.000173,0.341103
"HATTINGH, JOHANNES HENDRIK",47,10,0.003113,0.342857
"HECHLER, STEPHEN HERMAN",7,10,0.000244,0.338828
"HEDETNIEMI, STEPHEN TRAVIS",127,10,0.010806,0.346942
"HEDRLIN, ZDENEK",18,10,0.00146,0.340378
"HEGYVARI, NORBERT",9,10,0.000301,0.340067
"HEILBRONN, HANS ARNOLD",7,3,0.000577,0.338678
"HELL, PAVOL",138,10,0.013263,0.352262
"HEMMINGER, ROBERT LOUIS",22,10,0.001341,0.340549
"HENNING, MICHAEL ANTHONY",117,10,0.008025,0.345652
"HENRIKSEN, MELVIN",43,5,0.006446,0.339206
"HERZOG, FRITZ",8,10,0.000795,0.338668
"HERZOG, MARCEL",44,10,0.004992,0.339626
"HICKERSON, DEAN ROBERT",13,10,0.00132,0.339866
"HIGGS, DENIS ARTHUR",11,5,0.00146,0.338738
"HILDEBRAND, ADOLF J.",14,10,0.000469,0.341375
"HINDMAN, NEIL B.",54,5,0.005714,0.341517
"HOBBS, ARTHUR M.",32,10,0.002444,0.341487
"HOFFMAN, ALAN JEROME",107,10,0.012591,0.343368
"HOGGATT, VERNER EMIL, JR.",39,10,0.005057,0.341841
"HOLTON, DEREK ALLAN",72,10,0.008647,0.343082
"HOLZMAN, RON",41,10,0.003629,0.347255
"HORAK, PETER",56,10,0.003674,0.343951
"HORVATH, MIKLOS",12,3,0.00104,0.339296
"HOWORKA, EDWARD R.",13,5,0.001955,0.338579
"HSU, DERBIAU FRANK",171,2,0.026378,0.347036
"HUNT, GILBERT AGNEW",2,8,0,0.338609
"HWANG, JUN SHUNG",15,8,0.001715,0.338808
"INDLEKOFER, KARL-HEINZ",29,3,0.002858,0.339306
"INGHAM, ALBERT EDWARD",4,8,0.000388,0.3384
"IVIC, ALEKSANDAR",37,3,0.003629,0.340468
"JABOTINSKY, ERI",2,8,0.000087,0.33836
"JACKSON, STEPHEN CRAIG",20,5,0.002053,0.339346
"JACOBSON, MICHAEL SCOTT",89,10,0.004925,0.350017
"JAGOTA, ARUN KUMAR",34,10,0.004788,0.34073
"JANSON, SVANTE",150,10,0.018149,0.349974
"JARNIK, VOJTECH",7,3,0.000715,0.33846
"JIN, GUO PING",11,10,0.000418,0.340006
"JONES, FRED B.",2,9,0,0.339666
"JOO, ISTVAN",52,3,0.006242,0.34077
"JOO, MIKLOS",2,3,0,0.338788
"KAC, MARK",47,8,0.005348,0.340077
"KAINEN, PAUL CHESTER",15,10,0.001402,0.341487
"KAKUTANI, SHIZUO",23,5,0.002956,0.339087
"KAPLANSKY, IRVING",19,10,0.00205,0.339706
"KARAMATA, JOVAN",10,8,0.001428,0.338519
"KATAI, IMRE",47,3,0.005129,0.341689
"KELLY, PAUL JOSEPH",10,10,0.001066,0.338937
"KENNEDY, JOHN W.",35,10,0.00413,0.339396
"KESTELMAN, HYMAN",4,5,0.000191,0.338649
"KHARE, SATGUR PRASAD",2,3,0,0.338529
"KIERSTEAD, HENRY A.^1",71,10,0.006154,0.350123
"KISS, PETER",19,3,0.001588,0.340659
"KLAMKIN, MURRAY SEYMOUR",37,10,0.003838,0.341375
"KLAWE, MARIA MARGARET",94,10,0.012528,0.345891
"KLEITMAN, DANIEL J.",154,10,0.017621,0.36086
"KLUGERMAN, MICHAEL RICHARD",13,10,0.000585,0.343347
"KNAPPENBERGER, JONATHAN CHARLES",2,8,0,0.338738
"KO, CHAO (KE, ZHAO",7,10,0.000757,0.338549
"KOCZY, LASZLO A.",12,3,0.001734,0.338987
"KOHAYAKAWA, YOSHIHARU",73,10,0.005477,0.347905
"KOKSMA, JURJEN FERDINAND^1",14,3,0.001448,0.338698
"KOLESNIK, GRIGORI ABRAMOVICH",14,5,0.000692,0.339446
"KOMJATH, PETER",31,10,0.001496,0.346525
"KOMLOS, JANOS",56,10,0.003014,0.347287
"KOMORNIK, VILMOS",39,3,0.005919,0.339566
"KOREN, ISRAEL",133,4,0.021787,0.34248
"KOSTOCHKA, ALEXANDR V.",122,10,0.008464,0.357194
"KOVARI, TAMAS",5,8,0.00006,0.338907
"KRANTZ, STEVEN GEORGE",59,8,0.008883,0.340097
"KRATSCH, DIETER",91,10,0.010826,0.342735
"KRIVELEVICH, MICHAEL",88,10,0.006168,0.347768
"KROO, ANDRAS V.",25,8,0.002689,0.339326
"KUBICKA, EWA MARIA",21,10,0.000805,0.345777
"KUBICKI, GRZEGORZ",33,10,0.001198,0.346911
"KUNEN, KENNETH",51,5,0.005433,0.340187
"LACAMPAGNE, CAROLE B.",8,3,0.000321,0.340097
"LAM, PETER CHE BOR",59,10,0.006882,0.340328
"LARSON, JEAN ANN",17,10,0.000574,0.342226
"LASKAR, RENU CHAKRAVARTI",86,10,0.006541,0.34299
"LEFMANN, HANNO",34,10,0.001496,0.345777
"LEHEL, JENO",50,10,0.001726,0.353255
"LEHNER, JOSEPH",11,2,0.00126,0.338539
"LENGYEL, BELA A.",15,9,0.002022,0.338858
"LEV, VSEVOLOD F.",25,10,0.001262,0.341062
"LEVEQUE, WILLIAM JUDSON",2,3,0,0.338519
"LEWIN, MORDECHAI",5,10,0.000355,0.339646
"LI, WEN-CHING WINNIE",46,2,0.004897,0.341578
"LICK, DON RAYMOND",23,10,0.000522,0.343982
"LINIAL, NATHAN",138,10,0.013416,0.350325
"LIU, JIUQIANG",29,10,0.002375,0.340508
"LOEBL, MARTIN",46,10,0.003705,0.342125
"LORENTZ, GEORGE GUNTHER",26,8,0.003336,0.339396
"LOVASZ, LASZLO",147,10,0.012127,0.358159
"LOXTON, JOHN HAROLD",23,3,0.002493,0.338917
"LUCA, FLORIAN",194,3,0.023089,0.344867
"LUCZAK, TOMASZ",106,10,0.009923,0.358928
"MACINTYRE, ARCHIBALD JAMES",13,8,0.001686,0.338768
"MAGIDOR, MENACHEM",43,5,0.003315,0.341497
"MAHLER, KURT",16,3,0.001393,0.339067
"MAIER, HELMUT",17,3,0.000813,0.340831
"MAKAI, ENDRE, JR.",39,10,0.004289,0.341254
"MAKKAI, MIHALY MICHAEL",24,5,0.002892,0.340841
"MALDE, PARESH J.",10,10,0.000416,0.340297
"MALOUF, JANICE L.",3,3,0,0.338599
"MARCUS, SOLOMON",44,3,0.00695,0.339196
"MATE, ATTILA",16,8,0.000889,0.340529
"MAUDUIT, CHRISTIAN",36,10,0.003134,0.34498
"MAULDIN, RICHARD DANIEL",75,5,0.009525,0.341507
"MAXSEIN, THOMAS",6,10,0.000464,0.33843
"MAYS, MICHAEL ELLSWORTH",28,10,0.003072,0.339226
"MCCANNA, JOSEPH E.",16,10,0.000372,0.341436
"MCELIECE, ROBERT JAMES",103,4,0.014268,0.342074
"MCKAY, BRENDAN DAMIEN",112,10,0.011907,0.350208
"MEIR, AMRAM",27,10,0.001313,0.342878
"MELFI, GIUSEPPE",4,3,0.000347,0.338758
"MEYER, ANJA GABRIELE",4,10,0,0.339556
"MILLS, GEORGE HARLOW",4,5,0.000429,0.3384
"MILNER, ERIC CHARLES",26,10,0.001144,0.346182
"MINC, HENRYK",8,8,0.000812,0.341204
"MIRSKY, LEONID",7,10,0.000867,0.338549
"MOLLOY, MICHAEL SEAN O'BRIEN",43,10,0.003539,0.34428
"MONTGOMERY, HUGH LOWELL",34,3,0.002085,0.341891
"MONTGOMERY, PETER LAWRENCE",59,3,0.007545,0.342613
"MOON, JOHN W.",33,10,0.002482,0.343962
"MORAN, SHLOMO",71,4,0.007374,0.344712
"MORTON, RICHARD PATRICK",18,3,0.001591,0.339996
"MOSER, LEO",20,10,0.001931,0.341831
"MULLIN, RONALD C.",72,10,0.005408,0.345001
"MURTY, MARUTI RAM PEDAPROLU",81,3,0.010276,0.340297
"MURTY, VIJAYA KUMAR",29,3,0.00374,0.339776
"NATHANSON, MELVYN BERNARD",27,10,0.002155,0.345456
"NESETRIL, JAROSLAV",124,10,0.012054,0.363808
"NETANYAHU, ELISHA",8,10,0.000764,0.338529
"NEVEU, JACQUES",11,8,0.001286,0.338778
"NEWMAN, DONALD JOSEPH",50,8,0.004618,0.34175
"NEY, PETER E.",24,8,0.003447,0.338798
"NICOLAS, JEAN-LOUIS",38,3,0.003866,0.34176
"NIVEN, IVAN MORTON",15,3,0.001452,0.338917
"NORTON, DONALD ALAN",4,10,0.000086,0.338559
"O'NEIL, PATRICK EUGENE",57,2,0.008625,0.341103
"OBLATH, RICHARD",1,10,0,0.338341
"ODLYZKO, ANDREW MICHAEL",153,10,0.016041,0.355027
"OELLERMANN, ORTRUD R.",71,10,0.004689,0.347381
"OFFORD, ALBERT CYRIL",3,3,0.00026,0.33838
"ORDMAN, EDWARD THORNE",22,10,0.001761,0.343808
"OXTOBY, JOHN C.",6,5,0.000435,0.338848
"PACH, JANOS",155,10,0.015536,0.359633
"PALFY, PETER PAL",45,10,0.003668,0.342613
"PALKA, ZBIGNIEW J.",11,10,0.000498,0.339936
"PALMER, EDGAR MILAN",24,10,0.001337,0.345042
"PAPP, ZOLTAN Z.",5,3,0.00052,0.338738
"PARSONS, TORRENCE DOUGLAS",24,10,0.002394,0.3407
"PAYAN, CHARLES",34,10,0.00338,0.340418
"PENNEY, DAVID EMROY, II",3,3,0.000173,0.339186
"PHELPS, KEVIN THOMAS",44,10,0.003323,0.345891
"PINKUS, ALLAN M.",37,8,0.004051,0.340358
"PIPPERT, RAYMOND ELMER",13,10,0.000317,0.341891
"PIRANIAN, GEORGE",26,5,0.002331,0.339366
"POLLACK, RICHARD M.",43,10,0.002455,0.343839
"POLLARD, HARRY STRANGE",20,8,0.001366,0.340418
"POMERANCE, CARL BERNARD",113,3,0.011873,0.35446
"POSA, LAJOS",3,10,0.000001,0.338668
"PRACHAR, KARL",9,10,0.001298,0.338499
"PREISS, DAVID",68,5,0.009534,0.341305
"PRINS, GEERT CALEB ERNST",14,10,0.001008,0.343153
"PUDAITE, PAUL R.",4,10,0,0.339926
"PULLMAN, NORMAN JAY",28,10,0.001793,0.341224
"PURDY, GEORGE BARRY",25,10,0.001803,0.341194
"PYBER, LASZLO",34,10,0.002084,0.346733
"RADO, RICHARD",17,10,0.001177,0.339296
"RAMACHANDRA, KANAKANAHALLI",19,3,0.001262,0.34077
"RAO, SIDDANI BHASKARA",53,10,0.006796,0.340037
"RAUZY, GERARD",13,3,0.000795,0.339017
"REDDY, A. R.",10,8,0.0006,0.339556
"REID, TALMAGE JAMES",27,9,0.003309,0.339676
"RENYI, ALFRED A.",38,9,0.003442,0.341133
"REVESZ, PAL",34,9,0.002979,0.340067
"REZNICK, BRUCE ARIE",30,10,0.003122,0.343828
"RICHARDS, JONATHAN IAN",13,5,0.001617,0.338957
"RICHMOND, LAWRENCE BRUCE",53,10,0.004389,0.346109
"RIEGER, GEORG JOHANN",1,10,0,0.338341
"RIESEL, HANS",7,3,0.000867,0.338599
"ROBINSON, ROBERT WILLIAM",45,10,0.003293,0.34586
"RODL, VOJTECH",147,10,0.012801,0.367238
"ROGERS, CLAUDE AMBROSE",36,3,0.003377,0.340972
"ROSA, ALEXANDER",71,10,0.003956,0.344918
"ROSENBLOOM, PAUL CHARLES",7,8,0.000739,0.33846
"ROSENFELD, MOSHE^1",32,10,0.00242,0.34496
"ROTHSCHILD, BRUCE LEE",41,10,0.003486,0.346952
"ROUSSEAU, CECIL CLYDE",50,10,0.003774,0.34586
"RUBEL, LEE ALBERT",84,8,0.009653,0.344681
"RUBIN, ARTHUR LEONARD",16,4,0.001937,0.339726
"RUDIN, MARY ELLEN ESTILL",24,5,0.0028,0.341194
"RUSZINKO, MIKLOS",32,10,0.002364,0.345352
"RUZSA, IMRE Z.",89,10,0.007929,0.353482
"RYAVEC, CHARLES ALBERT",7,2,0.000716,0.338529
"SACHS, HORST",32,10,0.003314,0.341002
"SAFFARI, BAHMAN",18,8,0.001206,0.339596
"SAIAS, ERIC",7,9,0.000675,0.33846
"SAKS, MICHAEL EZRA",142,10,0.012582,0.354068
"SALAMON, PETER",221,6,0.037471,0.342765
"SALAT, TIBOR",64,3,0.007915,0.340901
"SANDOR, CSABA",6,10,0.000229,0.338917
"SARKAR, AMITES",7,10,0.000429,0.339646
"SARKOZY, ANDRAS",53,10,0.002442,0.346182
"SARKOZY, GABOR N.",28,10,0.0013,0.342328
"SAUER, NORBERT W.",53,10,0.0039,0.345756
"SCHAER, JONATHAN",12,10,0.000626,0.340197
"SCHELP, RICHARD HERBERT",61,10,0.002307,0.350144
"SCHERK, PETER",10,3,0.000985,0.338549
"SCHINZEL, ANDRZEJ BOBOLA MARIA",83,3,0.008297,0.345352
"SCHMUTZ, ERIC JONATHAN",11,3,0.00156,0.339346
"SCHNITZER, FRANZ JOSEF",18,8,0.001301,0.339716
"SCHONHEIM, JOCHANAN",25,10,0.001344,0.340067
"SCHULMAN, LEONARD J. Y.",71,10,0.007037,0.344249
"SCHUSTER, SEYMOUR",16,10,0.000538,0.342745
"SCHWENK, ALLEN JOHN CARL",51,10,0.002682,0.345394
"SEGAL, SANFORD LEONARD",4,9,0.000427,0.3384
"SEIDEL, WLADIMIR P.",15,8,0.001349,0.338887
"SELFRIDGE, JOHN LEWIS",38,3,0.002479,0.342135
"SELKOW, STANLEY M.",21,10,0.002122,0.341871
"SERESS, AKOS",82,10,0.007406,0.346462
"SHALLIT, JEFFREY OUTLAW",127,3,0.017162,0.345218
"SHAPIRO, HAROLD NATHANIEL",14,10,0.001843,0.338937
"SHAPIRO, HAROLD SEYMOUR",51,8,0.005571,0.340418
"SHARMA, AMBIKESHWAR",58,8,0.005779,0.340539
"SHELAH, SAHARON",224,5,0.027771,0.347213
"SHENG, TSENG KUO",3,2,0.000068,0.338609
"SHIELDS, ALLEN LOWELL",45,8,0.005143,0.340831
"SHISHA, OVED",46,8,0.004878,0.341234
"SHOREY, TARLOK NATH",32,3,0.001525,0.342664
"SHREVE, WARREN EUGENE",18,10,0.00125,0.340378
"SILBERMAN, GABRIEL M.",30,4,0.004154,0.341436
"SILVERMAN, RUTH",16,7,0.002188,0.338678
"SIMMONS, GUSTAVUS J.",26,10,0.002222,0.343777
"SIMONOVITS, MIKLOS",54,10,0.002282,0.350421
"SINGHI, NAVIN MADHAVPRASAD",39,10,0.003619,0.343388
"SIRAN, JOZEF",83,10,0.008421,0.345673
"SIRAO, TUNEKITI",7,8,0.000867,0.338708
"SKILTON, DONALD K.",2,10,0,0.338579
"SMITH, BRENT PENDLETON",8,10,0.000661,0.338589
"SMITH, PAUL R.",4,10,0.000117,0.33841
"SOIFER, ALEXANDER",5,10,0.000433,0.340478
"SOS, VERA TURAN",56,10,0.003304,0.355016
"SPECKER, ERNST PAUL",16,3,0.002505,0.338639
"SPENCER, JOEL HAROLD",116,10,0.010398,0.364498
"SPIRO-SILVERMAN, CLAUDIA ALISON",3,3,0,0.339806
"STATON, WILLIAM A., III",22,9,0.001903,0.343163
"STEIN, ALAN H.",7,7,0.000746,0.338589
"STEIN, SHERMAN KOPALD",13,10,0.001425,0.338649
"STEWART, CAMERON LEIGH",20,3,0.000818,0.34079
"STINSON, DOUGLAS ROBERT",112,10,0.011877,0.34346
"STONE, ARTHUR HAROLD",14,5,0.001158,0.339336
"STRAIGHT, H. JOSEPH",17,10,0.001746,0.338917
"STRAUS, ERNST GABOR",71,10,0.007725,0.352283
"SUBBARAO, MATUKUMALLI VENKATA",41,3,0.004092,0.340931
"SUEN, W.-C. STEPHEN",23,10,0.002445,0.339776
"SUN, HUI CHENG",7,10,0.00052,0.339486
"SURANYI, JANOS",9,10,0.000301,0.339157
"SWART, HENDRIKA CORNELIA SCOTT (HENDA",46,10,0.001839,0.344393
"SZABADOS, JOZSEF",33,8,0.002273,0.340348
"SZALAY, MIHALY",10,10,0.000076,0.340227
"SZEGEDY, MARIO",88,10,0.007941,0.349285
"SZEGO, GABOR",22,8,0.00198,0.339296
"SZEKELY, LASZLO ALADAR",78,10,0.007687,0.350954
"SZEKERES, ESTHER KLEIN",4,3,0.000001,0.338828
"SZEKERES, GEORGE",34,10,0.002774,0.343235
"SZEMEREDI, ENDRE",90,10,0.004626,0.356785
"SZUSZ, PETER",14,9,0.000956,0.339336
