IdSource,IdTarget,Weight
elve,orcs,5
ents,lego,5
ents,orth,5
eome,helm,5
eome,roha,5
eorl,ganda,5
frod,isil,5
ganda,rive,5
gimli,isen,5
goll,hobb,5
gond,roha,5
gond,sams,5
grim,isen,5
grim,roha,5
helm,theod,5
lori,sams,5
ring,saur,5
saur,tiri,5
theod,treeb,5
andu,frod,4
arag,edor,4
arag,eorl,4
arag,gala,4
arag,ring,4
arat,theod,4
bilb,frod,4
boro,merr,4
boro,pipp,4
boro,roha,4
comp,fara,4
comp,mori,4
comp,tiri,4
dene,gond,4
dene,tiri,4
dwar,gimli,4
edor,eome,4
edor,roha,4
edor,theod,4
elen,isil,4
elen,orth,4
elro,gala,4
elve,goll,4
elve,gond,4
elve,lego,4
ents,roha,4
ents,saur,4
eorl,roha,4
eorl,saru,4
fara,ring,4
frod,nazg,4
frod,osgi,4
gala,lori,4
gala,sams,4
ganda,goll,4
ganda,tiri,4
gimli,roha,4
gimli,saur,4
goll,gond,4
gond,isil,4
gond,mord,4
gond,osgi,4
gorb,sams,4
grim,orth,4
helm,lego,4
helm,saru,4
lego,saur,4
lego,sfax,4
lego,theod,4
lori,orcs,4
merr,orth,4
mord,pipp,4
mord,ring,4
morg,sams,4
orth,roha,4
ring,orcs,4
ring,treeb,4
rive,shir,4
roha,tiri,4
andu,osgi,3
andu,tiri,3
arag,dene,3
arag,dwar,3
arag,elro,3
arag,fara,3
arag,goll,3
arag,shir,3
arat,elen,3
arat,ganda,3
bilb,sams,3
boro,mori,3
boro,treeb,3
comp,dtow,3
comp,mord,3
comp,rive,3
comp,sams,3
dene,fara,3
dene,ganda,3
dtow,gond,3
dtow,mord,3
dtow,saru,3
duri,gimli,3
edor,eorl,3
edor,helm,3
edor,lego,3
elro,sams,3
elve,roha,3
elve,saur,3
ents,gimli,3
eorl,gond,3
eowy,theod,3
fara,nume,3
fara,orcs,3
frod,pipp,3
gala,ganda,3
gala,shir,3
ganda,helm,3
gimli,merr,3
gimli,mord,3
gimli,theod,3
goll,ring,3
gond,isen,3
gond,morg,3
gond,orth,3
grim,orcs,3
helm,orcs,3
isil,sams,3
lego,sams,3
lego,saru,3
mord,orth,3
mori,shir,3
nazg,sams,3
orth,orcs,3
orth,pipp,3
orth,theod,3
orth,treeb,3
pipp,ring,3
ring,rive,3
ring,roha,3
ring,tiri,3
rive,sams,3
roha,sfax,3
saru,sfax,3
saur,shel,3
saur,treeb,3
shel,orcs,3
andu,boro,2
andu,dene,2
andu,mord,2
andu,orcs,2
andu,saur,2
arag,cele,2
arag,eowy,2
arag,helm,2
arag,hobb,2
arag,isil,2
arag,rive,2
arat,gond,2
arat,lego,2
arat,roha,2
bilb,merr,2
boro,gala,2
boro,gimli,2
boro,loth,2
boro,saur,2
boro,shir,2
cele,treeb,2
comp,dene,2
comp,isil,2
comp,lori,2
comp,orth,2
comp,saru,2
dene,frod,2
dtow,fara,2
dtow,frod,2
dtow,ganda,2
dtow,isen,2
dtow,orcs,2
dtow,orth,2
dtow,ring,2
duri,lego,2
dwar,lego,2
edor,gimli,2
edor,saru,2
edor,sfax,2
elen,eome,2
elen,eorl,2
elen,fara,2
elen,frod,2
elen,saru,2
elro,elve,2
elro,fara,2
elro,gond,2
elro,rive,2
elro,shir,2
elve,isen,2
elve,loth,2
ents,theod,2
eome,eorl,2
eome,eowy,2
eome,gloi,2
eome,gond,2
eome,sfax,2
eorl,orth,2
eorl,sfax,2
eowy,ganda,2
eowy,saru,2
fara,lori,2
fara,mori,2
fara,roha,2
frod,loth,2
frod,merr,2
frod,roha,2
frod,shel,2
gala,gimli,2
gala,lego,2
gala,loth,2
gala,morg,2
gala,ring,2
gala,tomb,2
gala,treeb,2
ganda,gloi,2
ganda,isil,2
ganda,nazg,2
gimli,pipp,2
gimli,sfax,2
gloi,lego,2
gloi,saru,2
gloi,saur,2
goll,osgi,2
goll,shel,2
gond,orcs,2
gorb,orcs,2
grim,pipp,2
grim,sfax,2
grim,treeb,2
helm,isen,2
helm,sfax,2
isen,sams,2
isen,sfax,2
isen,tiri,2
lego,loth,2
lego,merr,2
lego,pipp,2
lori,mori,2
lori,ring,2
lori,rive,2
loth,rive,2
merr,mord,2
merr,ring,2
merr,rive,2
merr,sams,2
merr,shir,2
mord,roha,2
mord,theod,2
mord,tiri,2
morg,nazg,2
morg,orcs,2
morg,shel,2
mori,orcs,2
mori,rive,2
mori,sams,2
mori,saur,2
nazg,saru,2
orth,osgi,2
orth,ring,2
orth,saur,2
orth,sfax,2
osgi,tiri,2
pipp,sams,2
pipp,saur,2
pipp,sfax,2
rive,tiri,2
sams,saru,2
saru,tiri,2
andu,arag,1
andu,elve,1
andu,ents,1
andu,fara,1
andu,goll,1
andu,isil,1
andu,lori,1
andu,roha,1
andu,sams,1
arag,bilb,1
arag,gloi,1
arag,grim,1
arag,loth,1
arag,morg,1
arag,nazg,1
arat,comp,1
arat,edor,1
arat,eome,1
arat,frod,1
arat,gimli,1
arat,helm,1
arat,isil,1
arat,mori,1
arat,sfax,1
bage,sams,1
bilb,gala,1
bilb,ganda,1
bilb,goll,1
bilb,lori,1
boro,cele,1
boro,elen,1
boro,elro,1
boro,hobb,1
boro,isen,1
boro,lego,1
boro,mord,1
boro,osgi,1
boro,saru,1
boro,theod,1
bree,isen,1
bree,merr,1
bree,orcs,1
bree,rive,1
bree,roha,1
bree,sams,1
bree,saru,1
bree,shir,1
cele,gond,1
comp,elro,1
comp,eome,1
comp,gimli,1
comp,grim,1
comp,isen,1
comp,roha,1
comp,saur,1
dene,edor,1
dene,eorl,1
dene,isil,1
dene,orcs,1
dene,osgi,1
dene,ring,1
dene,roha,1
dene,sams,1
dene,saur,1
dene,sfax,1
dene,theod,1
dtow,goll,1
dtow,nazg,1
dtow,pipp,1
dtow,rive,1
dtow,sams,1
duri,dwar,1
duri,gala,1
duri,ganda,1
duri,gloi,1
duri,helm,1
duri,saur,1
dwar,fara,1
dwar,ganda,1
dwar,gloi,1
dwar,goll,1
dwar,helm,1
dwar,orcs,1
dwar,saur,1
edor,grim,1
elen,elro,1
elen,elve,1
elen,ganda,1
elen,grim,1
elen,isen,1
elen,nume,1
elen,orcs,1
elen,osgi,1
elen,pipp,1
elen,roha,1
elen,sfax,1
elen,theod,1
elen,tiri,1
elro,ents,1
elro,gimli,1
elro,goll,1
elro,isen,1
elro,loth,1
elro,morg,1
elro,mori,1
elro,nazg,1
elro,nume,1
elro,orcs,1
elro,orth,1
elro,osgi,1
elro,ring,1
elro,roha,1
elro,saur,1
elro,tomb,1
elro,treeb,1
elve,gala,1
elve,lori,1
elve,mord,1
elve,morg,1
elve,mori,1
elve,nume,1
elve,saru,1
elve,shel,1
elve,shir,1
elve,theod,1
elve,tiri,1
ents,eorl,1
ents,frod,1
ents,gala,1
ents,gloi,1
ents,gond,1
ents,grim,1
ents,loth,1
ents,mord,1
ents,mori,1
ents,nazg,1
ents,rive,1
ents,sams,1
ents,shir,1
ents,tiri,1
ents,tomb,1
eome,hobb,1
eome,orth,1
eome,saur,1
eome,tiri,1
eome,treeb,1
eorl,gimli,1
eorl,grim,1
eorl,isen,1
eorl,lego,1
eorl,mord,1
eorl,orcs,1
eorl,saur,1
eorl,tiri,1
eorl,treeb,1
eowy,grim,1
eowy,roha,1
fara,gala,1
fara,hobb,1
fara,mord,1
fara,nazg,1
fara,osgi,1
fara,rive,1
fara,saur,1
fara,shir,1
frod,hobb,1
frod,hton,1
frod,isen,1
frod,lego,1
frod,mdoo,1
frod,nume,1
frod,orth,1
frod,saru,1
frod,sfax,1
gala,helm,1
gala,mori,1
gala,nazg,1
gala,orcs,1
gala,rive,1
gala,roha,1
gala,saru,1
ganda,lori,1
ganda,loth,1
ganda,morg,1
ganda,nume,1
ganda,osgi,1
ganda,shir,1
gild,merr,1
gild,pipp,1
gild,sams,1
gimli,grim,1
gimli,helm,1
gimli,loth,1
gimli,mori,1
gimli,orth,1
gimli,rive,1
gimli,sams,1
gimli,tiri,1
gloi,isen,1
gloi,roha,1
gloi,treeb,1
goll,isil,1
goll,lori,1
goll,nazg,1
goll,nume,1
goll,pipp,1
goll,shir,1
gond,grim,1
gond,helm,1
gond,nume,1
gond,ring,1
gond,rive,1
gond,sfax,1
gond,shel,1
gond,shir,1
gond,treeb,1
gorb,morg,1
gorb,shel,1
grim,helm,1
grim,merr,1
hald,sams,1
helm,merr,1
helm,nazg,1
helm,pipp,1
helm,treeb,1
hobb,mori,1
hobb,pipp,1
hobb,rive,1
hobb,sams,1
hobb,saur,1
hobb,shir,1
hobb,theod,1
hobb,tiri,1
hton,ring,1
hton,sams,1
hton,shir,1
hton,treeb,1
isen,lori,1
isen,mori,1
isen,nazg,1
isen,osgi,1
isen,shir,1
isil,mord,1
isil,nume,1
isil,rive,1
lego,mord,1
lego,mori,1
lego,ring,1
lori,merr,1
lori,mord,1
lori,pipp,1
lori,saru,1
lori,saur,1
lori,shir,1
lori,tomb,1
loth,mori,1
loth,nazg,1
loth,sams,1
loth,shir,1
loth,tomb,1
loth,treeb,1
mdoo,sams,1
merr,saur,1
merr,theod,1
merr,tiri,1
mord,mori,1
mord,nazg,1
mord,osgi,1
mord,rive,1
mord,sfax,1
mord,shir,1
mord,treeb,1
morg,nume,1
morg,osgi,1
morg,ring,1
morg,saur,1
morg,tiri,1
mori,nazg,1
mori,ring,1
mori,saru,1
mori,sfax,1
mori,tiri,1
mori,tomb,1
mori,treeb,1
nazg,nume,1
nazg,orth,1
nazg,osgi,1
nazg,ring,1
nazg,rive,1
nazg,roha,1
nazg,saur,1
nazg,shir,1
nazg,tomb,1
nume,roha,1
nume,sams,1
nume,saur,1
nume,tiri,1
orth,rive,1
orth,sams,1
osgi,sams,1
osgi,saru,1
pipp,shir,1
pipp,tiri,1
ring,shel,1
ring,theod,1
ring,tomb,1
rive,orcs,1
rive,roha,1
rive,sfax,1
rive,tomb,1
rive,treeb,1
roha,sams,1
roha,shir,1
sams,tiri,1
sams,tomb,1
sams,treeb,1
saru,shir,1
saur,shir,1
saur,theod,1
sfax,orcs,1
shir,theod,1
shir,tiri,1
shir,tomb,1
theod,orcs,1
tiri,treeb,1
